label,value,num_date_review,unknown_var_7,unknown_var_8,unknown_var_9,unknown_var_13,unknown_var_17,social_friend_count,delta_time,delta_date,age,cat_3,cat_6,location_id,cat_8,cat_10,cat_11,com_type,cat_12
0,9000000.0,6.0,37.0,28.065819,-1.568627451,0.95,335.0,0.0,0.724,1666.0,25.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,346.0,404.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,9000000.0,6.0,37.0,78.43893591,-15.0,0.95,335.0,0.0,0.724,1666.0,25.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,5.0,20.25421284,5.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,43.0,87.93700397,-21.75,0.62,-18.0,1243.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0
0,4472600.0,1.0,0.0,49.32882862,-56.66666667,0.6,1820.0,0.0,0.038,1778.0,28.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
0,4500000.0,11.0,12.0,22.627417,-4.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,28.0,25.4476587,-0.75,0.62,2184.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,4260000.0,10.0,81.0,57.27564928,40.5,0.49,2164.0,317.0,17.372,1514.0,37.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,42.0,65.53561373,-8.25,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,7562000.0,156.0,14.0,9.899494937,7.0,0.92,3281.0,0.0,234.799,-1456.0,58.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0
1,834000.0,12.0,70.0,49.49747468,35.0,0.01,3986.0,117.0,1.195,1447.0,39.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0
1,4500000.0,11.0,16.0,20.25421284,2.0,0.62,1809.0,1117.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,29.0,39.76308042,-6.461538462,0.62,1800.0,336.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,72.0,174.655375,-51.5,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,206.0,64.98915097,11.61538462,0.62,1068.0,0.0,0.885,1435.0,32.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4258600.0,6.0,71.0,37.42102796,28.66666667,0.49,708.0,102.0,0.949,1646.0,30.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,14.0,9.899494937,7.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4115275.0,38.0,23.0,10.81665383,14.0,0.48,4014.0,3323.0,1.46,676.0,33.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,20.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,3477500.0,20.0,15.0,17.0098011,2.5,0.35,713.0,903.0,5.085,1224.0,27.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
1,2953200.0,70.0,15.0,10.60660172,7.5,0.3,1460.0,1521.0,6.242,-303.0,34.0,1.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0
0,4500000.0,11.0,20.0,56.80668975,-18.5,0.62,2164.0,62.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,8.0,4.949747468,4.5,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,4955.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4782000.0,2.0,3.0,20.25421284,3.0,0.71,2164.0,161.0,2.963,1766.0,27.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,3590900.0,76.0,41.0,29.7345398,3.5,0.35,1806.0,28.0,1.015,-479.0,32.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,2.0
0,4987500.0,7.0,11.0,15.60121748,11.0,0.76,1815.0,0.0,0.0,1566.0,35.0,1.0,0.0,2.0,1.0,4.0,2.0,3.0,2.0
0,1920000.0,0.0,4.0,23.18045153,-11.33333333,0.27,1449.0,3707.0,0.0,1140.0,31.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
0,4500000.0,11.0,53.0,96.87362902,-15.5,0.62,2164.0,1035.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,1.0,61.0,92.63098834,-4.5,0.62,3262.0,0.0,23.531,1777.0,32.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
1,4258600.0,27.0,16.0,83.22739933,-32.6,0.49,2164.0,1056.0,0.012,1008.0,24.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,14.0,8.082903769,4.666666667,0.62,2164.0,4554.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4258600.0,24.0,16.0,20.25421284,2.0,0.49,728.0,1180.0,2.017,1095.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,1490000.0,4.0,18.0,23.045600955,1.7083333335000002,0.12,350.0,0.0,16.703,1711.0,26.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,5709000.0,41.0,10.5,26.371181015,0.0,0.85,2531.0,757.0,0.035,559.0,36.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0
0,2771400.0,15.0,6.0,3.055050463,3.333333333,0.29,2173.0,0.0,1.64,1328.0,29.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,5994000.0,77.0,14.0,16.3627668,2.0,0.86,2164.0,11.0,0.036,-513.0,30.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0
0,1390000.0,24.0,35.0,14.00451662,35.0,0.08,1811.5,202.0,0.0,1090.0,38.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
0,3477500.0,25.0,15.0,17.0098011,2.5,0.35,3265.0,568.0,0.021,1034.0,35.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
1,3780000.0,45.0,54.0,59.18051481,-2.333333333,0.39,2531.0,0.0,0.0,425.0,32.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4650000.0,1.0,2.0,1.154700538,1.333333333,0.69,1809.0,47.0,0.0,1795.0,33.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4200000.0,1.0,15.0,7.778174593,9.5,0.49,713.0,274.0,12.472,1799.0,42.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,5.0,20.25421284,5.0,0.62,2164.0,1469.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,2929978.0,0.0,54.0,25.30316186,16.25,0.3,2531.5,89.0,0.772,1827.0,35.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
1,2929978.0,0.0,54.0,16.35067107,9.3,0.3,2531.5,89.0,0.772,1827.0,35.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
0,3477500.0,29.0,15.0,17.0098011,2.5,0.35,2167.0,0.0,2.24,930.0,28.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,3477500.0,0.0,8.0,17.0098011,8.0,0.35,2167.0,3670.0,0.043,1806.0,26.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,248.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,5585767.0,79.0,13.0,5.176871642,6.0,0.84,2893.0,1062.0,0.095,-575.0,38.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0
0,5585767.0,79.0,13.0,18.07805787,-1.235294118,0.84,2893.0,1062.0,0.095,-575.0,38.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0
1,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,0.0,20.25421284,0.0,0.62,2164.0,1530.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,1490000.0,47.0,18.0,30.17780641,0.0,0.12,1820.0,56.0,15.238,419.0,33.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0
0,4500000.0,11.0,5.0,20.25421284,5.0,0.62,2164.0,3642.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4851610.0,9.0,22.0,62.68412877,-15.6,0.74,699.0,0.0,0.15,1368.0,34.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,42.0,19.28730152,20.0,0.62,4000.0,0.0,0.885,1435.0,32.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0
0,3560000.0,0.0,17.0,17.306234359999998,1.55,0.35,1799.0,2470.0,0.0,1796.0,25.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0
1,4600000.0,3.0,0.0,0.0,0.0,0.69,3991.0,114.0,0.006,1712.0,41.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,3385000.0,0.0,49.0,75.05775554,-12.5,0.33,2164.0,47.0,0.0,1435.0,36.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,1490000.0,12.0,9.0,31.81980515,-13.5,0.12,1992.5,115.0,0.169,1456.0,35.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
1,1390000.0,0.0,81.0,122.5030612,-18.0,0.08,2178.0,1313.0,0.454,1850.0,30.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
1,1390000.0,12.0,5.5,4.324349662,2.25,0.08,2169.0,186.0,1.332,1462.0,31.0,1.0,0.0,3.0,2.0,4.0,2.0,3.0,2.0
0,2650000.0,0.0,15.0,165.4629868,-102.0,0.28,2554.0,96.0,0.0,1403.5,33.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0
0,4500000.0,11.0,15.0,87.55969392,-32.8,0.62,2164.0,873.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4880000.0,4.0,2.0,17.0098011,2.0,0.74,2187.0,0.0,0.002,1679.0,29.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
1,4880000.0,4.0,10.0,5.291502622,4.0,0.74,2187.0,0.0,0.002,1679.0,29.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
1,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,957.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,4.0,2.121320344,2.5,0.62,2164.0,2487.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,0.0,9.237604307,-5.333333333,0.62,2188.0,679.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0
1,4500000.0,11.0,71.0,50.20458146,35.5,0.62,2164.0,1069.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,2748990.0,61.0,104.0,73.53910524,52.0,0.29,3256.0,4665.0,0.847,-32.0,32.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,4.0
1,1043000.0,0.0,28.0,13.10216267,8.5,0.05,718.0,0.0,0.046,1842.0,29.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
0,4521530.0,21.0,73.0,7.778174593,67.5,0.62,2164.0,0.0,89.179,1189.0,29.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,1.0,0.707106781,0.5,0.62,3633.0,109.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4696230.0,14.0,102.0,60.81118318,59.0,0.69,1816.5,1218.0,0.0,1380.0,27.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0
0,834000.0,0.0,6.0,24.79236946,0.0,0.01,2727.0,0.0,0.012,1828.0,27.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
0,6900000.0,69.0,80.0,20.25421284,80.0,0.91,2164.0,0.0,2.252,-273.0,34.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4470000.0,172.0,39.0,18.24828759,18.0,0.6,3622.0,150.0,0.003,-1449.0,45.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0
1,1390000.0,48.0,35.0,14.67310465,10.4,0.08,2920.0,162.0,41.697,362.0,54.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
0,6431000.0,37.0,-19.0,20.25421284,-19.0,0.89,2164.0,4918.0,0.017,678.0,28.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4300000.0,24.0,2.0,51.17535214,-24.25,0.52,2164.0,701.0,3.663,1090.0,26.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,726000.0,20.0,0.0,77.07463915,-54.5,0.0,2164.0,0.0,0.0,1201.0,32.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0
0,3590900.0,55.0,45.0,18.80159568,45.0,0.35,2893.0,11.0,382.259,160.0,31.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
0,4730000.0,0.0,17.0,6.08276253,10.0,0.71,1799.0,0.0,6.154,1793.0,25.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0
0,4827600.0,122.0,11.0,4.654746681,4.5,0.74,4002.0,243.0,0.003,-1449.0,43.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2526.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,14.0,6.32455532,4.0,0.62,2164.0,1400.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,2370.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,1043.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,3780000.0,52.0,4.0,18.80159568,4.0,0.39,2893.0,291.0,2.451,240.0,36.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
0,4100000.0,9.0,15.0,17.0098011,2.5,0.48,2167.0,258.0,0.0,1534.0,37.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
0,973000.0,0.0,12.0,12.70170592,3.875,0.0,2554.0,1664.0,0.0,1458.5,27.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,2.0
0,3700000.0,2.0,14.0,13.07669683,3.0,0.39,2187.0,2401.0,0.0,1041.0,26.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0
0,4500000.0,11.0,15.0,5.802298395,8.5,0.62,2164.0,4906.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4295670.0,109.0,1.0,0.707106781,0.5,0.49,1806.0,1171.0,1.026,-1453.0,37.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,2.0
0,3039600.0,12.0,18.0,23.045600955,1.7083333335000002,0.3,2920.0,1473.0,1.019,1465.0,29.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,3039600.0,12.0,22.0,11.2398102,9.5,0.3,2920.0,1473.0,1.019,1465.0,29.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
0,1150000.0,0.0,16.0,17.036131365,2.6333333335,0.08,1799.0,161.0,0.0,1479.0,39.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0
1,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2186.0,1065.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,7.0,55.86143571,-32.5,0.62,362.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,60.0,18.59032006,7.4,0.62,2164.0,2713.0,0.885,1435.0,32.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
1,4230000.0,0.0,10.0,4.020779361,1.833333333,0.49,2541.0,801.0,0.0,1798.0,32.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
1,973000.0,12.0,10.0,5.773502692,3.333333333,0.03,1441.0,0.0,0.0,1457.0,27.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0
0,4440000.0,67.0,23.0,9.02034737,5.166666667,0.6,2531.5,0.0,0.0,-222.0,31.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
0,4440000.0,67.0,23.0,16.26345597,11.5,0.6,3264.0,0.0,0.0,-222.0,31.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0
1,3657000.0,20.0,22.0,20.25421284,22.0,0.38,1816.0,588.0,0.0,1435.0,36.0,1.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0
0,4472600.0,0.0,21.0,20.25421284,21.0,0.6,1459.0,0.0,26.692,1807.0,30.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4697000.0,0.0,3.0,1.414213562,1.0,0.69,716.0,4176.0,4.985,1743.0,25.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0
0,1390000.0,0.0,57.0,25.01399608,17.2,0.08,1812.0,65.0,0.469,1821.0,27.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0
0,834000.0,0.0,15.0,50.01333156,-19.66666667,0.01,1452.0,0.0,52.933,1843.0,25.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0
0,4200000.0,17.0,12.0,16.62327685,-0.5,0.49,2527.0,2012.0,0.004,1312.0,29.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0
1,4500000.0,11.0,0.0,76.36753237,-54.0,0.62,706.0,4.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,46.0,19.15724406,24.0,0.62,2905.0,1059.0,0.885,1435.0,32.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
1,5220000.0,98.0,-95.0,20.25421284,-95.0,0.81,2164.0,385.0,0.926,-1155.0,33.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4280000.0,30.0,14.0,50.94441415,-18.0,0.49,1454.0,1978.0,0.21,919.0,29.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,5018000.0,13.0,10.0,4.163331999,5.0,0.77,1810.0,0.0,0.116,1400.0,38.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0
0,4500000.0,0.0,2.0,20.300683355,2.0,0.62,2172.0,4679.0,0.756,1796.0,28.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0
0,4680000.0,39.0,52.0,67.58433885,-5.25,0.69,2164.0,3.0,0.765,645.0,31.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,3.0,20.25421284,3.0,0.62,1805.0,140.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0
0,1150000.0,0.0,22.0,25.77466456,2.333333333,0.08,1444.0,0.0,0.0,1610.0,28.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,2.0
1,4500000.0,11.0,0.0,72.83199846,-51.5,0.62,-18.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,1390000.0,0.0,14.0,12.82966135,3.0,0.08,2178.0,1010.0,0.0,1843.0,35.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
1,4500000.0,11.0,5.0,3.535533906,2.5,0.62,2164.0,91.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4520000.0,11.0,0.0,0.0,0.0,0.62,1804.0,0.0,0.0,1485.0,26.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0
1,973000.0,0.0,39.0,59.50070028,-9.666666667,0.03,2178.0,4943.0,0.008,1845.0,42.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
1,1390000.0,12.0,17.0,5.92814112,3.5,0.08,4358.0,4178.0,0.036,1455.0,40.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
1,973000.0,0.0,3.0,12.82966135,3.0,0.03,1457.0,1196.0,0.247,1853.0,28.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
0,5437000.0,3.0,45.0,75.35914012,-11.5,0.83,-5.0,158.0,0.001,1719.0,35.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,9.0,2.121320344,7.5,0.62,2164.0,48.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0
0,1150000.0,0.0,21.0,34.71039852,-1.089285714,0.08,1799.0,1549.0,0.0,750.0,26.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0
0,3400000.0,0.0,11.0,3.722169455,2.636363636,0.35,2173.0,462.0,0.0,1774.0,28.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0
0,4500000.0,11.0,0.0,20.25421284,0.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,3780000.0,1.0,47.0,22.11334439,22.0,0.39,2173.0,2955.0,67.448,1396.5,31.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
0,4500000.0,11.0,16.0,20.25421284,2.0,0.62,2164.0,0.0,0.0,1435.0,36.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
1,4500000.0,11.0,9.0,39.50843792,-11.75,0.62,335.0,0.0,0.885,1435.0,32.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0
