label,cat_3,value,cat_6,num_date_review,location_id,cat_8,cat_10,cat_11,com_type,cat_12,unknown_var_7,unknown_var_8,unknown_var_9,unknown_var_13,unknown_var_17,social_friend_count,delta_time,delta_date,age
0,L,9000000.0,L,6.0,L,M,L,L,L,L,37.0,28.065819,-1.568627451,0.95,335.0,0.0,0.724,1666.0,25.0
0,,,,,,,,,,,,,,,346.0,404.0,,,
1,L,834000.0,L,48.0,L,L,L,M,L,L,4.0,2.828427125,2.0,0.01,,56.0,0.056,380.0,27.0
0,L,9000000.0,L,6.0,L,M,L,L,L,L,37.0,78.43893591,-15.0,0.95,335.0,0.0,0.724,1666.0,25.0
0,,,,,,,,,,,-96.0,,-96.0,,334.0,645.0,,,
0,L,3780000.0,L,0.0,L,L,M,L,M,S,,,,0.39,,4004.0,0.0,1781.0,32.0
0,,,,,,,,,,,5.0,,5.0,,,0.0,,,
1,,,,,,,,,,,43.0,87.93700397,-21.75,,-18.0,1243.0,,,
0,L,4472600.0,L,1.0,L,M,L,L,L,M,0.0,49.32882862,-56.66666667,0.6,1820.0,0.0,0.038,1778.0,28.0
0,,,,,,,,,,,12.0,22.627417,-4.0,,,0.0,,,
0,,,,,,,,,,,28.0,25.4476587,-0.75,,2184.0,0.0,,,
0,L,4260000.0,L,10.0,L,L,L,L,L,L,81.0,57.27564928,40.5,0.49,,317.0,17.372,1514.0,37.0
0,,,,,,,,,,,42.0,65.53561373,-8.25,,,0.0,,,
0,L,5000000.0,L,0.0,L,M,L,L,L,M,36.0,13.27905619,21.5,0.77,,0.0,169.214,1800.0,34.0
1,,,,,,,,,,,42.0,65.53561373,-8.25,,1091.0,0.0,,,
1,L,7562000.0,L,156.0,S,S1,L,L,L,M,14.0,9.899494937,7.0,0.92,,0.0,234.799,-1456.0,58.0
1,L,834000.0,L,12.0,L,L,L,M,L,M1,70.0,43.33781268,-1.434782609,0.01,3986.0,117.0,1.195,1447.0,39.0
1,L,834000.0,L,12.0,L,L,L,M,L,M1,70.0,49.49747468,35.0,0.01,3986.0,117.0,1.195,1447.0,39.0
0,,,,,,,,,,,90.0,166.8772004,-28.0,,,1117.0,,,
1,,,,,,,,,,,,,,,1809.0,1117.0,,,
1,,,,,,,,,,,29.0,39.76308042,-6.461538462,,1800.0,336.0,,,
0,,,,,,,,,,,4.0,63.63961031,-41.0,,1800.0,336.0,,,
0,,,,,,,,,,,72.0,174.655375,-51.5,,,0.0,,,
0,L,3161730.0,L,225.0,L,L,M,M1,S,L,21.0,43.13351365,-9.5,0.31,3273.0,225.0,0.612,-1731.0,42.0
0,,,,,,,,,,,206.0,64.98915097,11.61538462,,1068.0,0.0,,,
1,,,,,,,,,,,206.0,64.98915097,11.61538462,,1068.0,0.0,,,
1,L,4258600.0,L,6.0,L,L,L,L,L,L,71.0,37.42102796,28.66666667,0.49,708.0,102.0,0.949,1646.0,30.0
0,,,,,,,,,,,14.0,9.899494937,7.0,,,0.0,,,
0,L,4300000.0,L,22.0,L,L,L,L,L,L,13.0,5.656854249,9.0,0.52,723.0,1.0,11.278,1163.0,30.0
0,L,4115275.0,L,38.0,L,L,M,L,M,L,23.0,10.81665383,14.0,0.48,4014.0,3323.0,1.46,676.0,33.0
1,L,4115275.0,L,38.0,L,L,M,L,M,L,23.0,8.469553314,4.2,0.48,4014.0,3323.0,1.46,676.0,33.0
0,,,,,,,,,,,,,,,,20.0,,,
0,L,3477500.0,L,20.0,L,L,M,L,M,L,,,,0.35,713.0,903.0,5.085,1224.0,27.0
1,L,,L,54.0,L,L,M,L,M,M,27.0,15.58845727,9.0,0.0,,758.0,0.008,181.0,35.0
0,L,3500000.0,L,36.0,L,L,M,L,M,L,,,,0.35,,1678.0,1.842,731.0,29.0
0,,,,,,,,,,,2.0,64.67096206,-36.33333333,,3279.0,2815.0,,,
1,L,2953200.0,L,70.0,S,S,M1,L,S1,M,15.0,10.60660172,7.5,0.3,1460.0,1521.0,6.242,-303.0,34.0
0,,,,,,,,,,,46.0,54.39439309,-6.25,,,62.0,,,
0,,,,,,,,,,,20.0,56.80668975,-18.5,,,62.0,,,
0,,,,,,,,,,,8.0,4.949747468,4.5,,,0.0,,,
0,L,1390000.0,L,0.0,L,L,L,M,L,M1,66.0,,66.0,0.08,,0.0,0.0,1843.0,39.0
0,L,3050000.0,L,25.0,L,S1,M,L,M,L,,,,0.3,2160.0,0.0,15.758,1064.0,28.0
0,,,,,,,,,,,,,,,,4955.0,,,
0,L,4910000.0,L,0.0,L,L,M1,L,S1,L,,,,0.76,1441.0,0.0,3.464,1812.0,25.0
0,L,4782000.0,L,2.0,L,L,L,L,L,L,3.0,,3.0,0.71,,161.0,2.963,1766.0,27.0
1,L,3777100.0,L,14.0,L,L,M,L,M,L,,,,0.39,,291.0,9.067,1408.0,31.0
1,L,3590900.0,L,76.0,L,S1,M1,L,S1,L,,,,0.35,,28.0,1.015,-479.0,32.0
0,L,4987500.0,L,7.0,L,L,M1,L,S1,L,11.0,,11.0,0.76,,0.0,0.0,1566.0,35.0
0,L,4260000.0,L,44.0,L,L,L,L,L,M1,17.0,,17.0,0.49,1804.0,0.0,3.894,485.0,34.0
0,L,1920000.0,L,0.0,L,L,L,M1,L,S1,4.0,23.18045153,-11.33333333,0.27,1449.0,3707.0,0.0,,31.0
0,,,,,,,,,,,53.0,96.87362902,-15.5,,,1035.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
0,L,3710000.0,L,0.0,L,L,M,L,M,L,,,,0.39,1093.0,957.0,13.415,1790.0,28.0
0,L,4500000.0,L,1.0,L,M,L,L,L,L,61.0,92.63098834,-4.5,0.62,3262.0,0.0,23.531,1777.0,32.0
1,L,4258600.0,L,27.0,L,L,L,L,L,L,16.0,83.22739933,-32.6,0.49,,1056.0,0.012,1008.0,24.0
0,,,,,,,,,,,14.0,8.082903769,4.666666667,,,4554.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
0,L,4258600.0,L,24.0,L,L,L,L,L,L,,,,0.49,728.0,1180.0,2.017,1095.0,32.0
0,L,1490000.0,L,4.0,L,M,L,L,L,L,,,,0.12,350.0,0.0,16.703,1711.0,26.0
0,,,,,,,,,,,0.0,,0.0,,,0.0,,,
0,M,5709000.0,L,41.0,L,L,L,L,L,M,,,,0.85,2531.0,757.0,0.035,559.0,36.0
0,L,2771400.0,L,15.0,L,M,L,L,L,L,6.0,3.055050463,3.333333333,0.29,,0.0,1.64,1328.0,29.0
0,,,,,,,,,,,23.0,16.26345597,11.5,,,1413.0,,,
1,,,,,,,,,,,8.0,2.121320344,6.5,,,0.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
0,,,,,,,,,,,198.0,167.4395413,38.0,,,58.0,,,
0,L,5994000.0,L,77.0,L,L,L,L,L,M1,,,,0.86,2164.0,11.0,0.036,-513.0,30.0
0,M,1390000.0,L,24.0,L,L,M,M,M,L,35.0,,35.0,0.08,,202.0,0.0,1090.0,38.0
0,L,3477500.0,L,25.0,L,L,M,L,M,L,,,,0.35,3265.0,568.0,0.021,1034.0,35.0
0,L,4472600.0,L,3.0,L,L,L,L,L,L,6.0,,6.0,0.6,,33.0,0.991,1753.0,34.0
0,,,,,,,,,,,42.0,47.76010655,-6.555555556,,,5.0,,,
1,M,3780000.0,L,45.0,L,L,M,L,M,L,54.0,59.18051481,-2.333333333,0.39,,0.0,0.0,425.0,32.0
0,L,4650000.0,L,1.0,L,L,L,L,L,L,2.0,1.154700538,1.333333333,0.69,1809.0,47.0,0.0,1795.0,33.0
1,L,4200000.0,L,1.0,L,L,M,L,M,L,15.0,7.778174593,9.5,0.49,713.0,274.0,12.472,1799.0,42.0
0,,,,,,,,,,,5.0,,5.0,,,1469.0,,,
0,L,2929978.0,L,0.0,L,L,L,M1,L,S1,54.0,25.30316186,16.25,0.3,,89.0,0.772,1827.0,35.0
1,L,2929978.0,L,0.0,L,L,L,M1,L,S1,54.0,16.35067107,9.3,0.3,,89.0,0.772,1827.0,35.0
0,L,3477500.0,L,29.0,L,L,M,L,M,L,,,,0.35,,0.0,2.24,930.0,28.0
0,,,,,,,,,,,,,,,,0.0,,,
0,L,3477500.0,L,0.0,L,L,M,L,M,L,8.0,,8.0,0.35,,3670.0,0.043,1806.0,26.0
1,,,,,,,,,,,,,,,,0.0,,,
0,,,,,,,,,,,,,,,,248.0,,,
1,L,4258600.0,L,6.0,L,L,L,L,L,L,,,,0.49,,410.0,3.492,1646.0,32.0
0,M,1210000.0,L,10.0,M1,M,M,L,S,L,,,,0.08,,4308.0,0.0,1520.0,26.0
1,M,3963400.0,L,144.0,L,M,L,L,L,L,4.0,13.43502884,-5.5,0.43,,873.0,0.001,-1476.0,42.0
0,M,3963400.0,L,144.0,L,M,L,L,L,L,51.0,35.62154877,-0.684210526,0.43,4004.0,873.0,0.001,-1476.0,42.0
0,L,5585767.0,L,79.0,L,L,M,L,M,S1,13.0,5.176871642,6.0,0.84,2893.0,1062.0,0.095,-575.0,38.0
0,L,5585767.0,L,79.0,L,L,M,L,M,S1,13.0,18.07805787,-1.235294118,0.84,2893.0,1062.0,0.095,-575.0,38.0
1,L,5256000.0,L,49.0,L,L,L,L,L,L,116.0,89.9014275,-2.666666667,0.81,1816.0,865.0,2.022,335.0,26.0
1,,,,,,,,,,,,,,,,0.0,,,
1,,,,,,,,,,,0.0,,0.0,,,1530.0,,,
0,,,,,,,,,,,,,,,,305.0,,,
0,L,1490000.0,L,47.0,M,M,M,L,M,M,,,,0.12,,56.0,15.238,419.0,33.0
0,,,,,,,,,,,5.0,,5.0,,,3642.0,,,
0,M,4851610.0,L,9.0,L,L,L,L,L,L,22.0,62.68412877,-15.6,0.74,699.0,0.0,0.15,1368.0,34.0
0,,,,,,,,,,,42.0,19.28730152,20.0,,4000.0,0.0,,,
0,L,3560000.0,L,0.0,L,L,L,L,L,S,,,,0.35,,2470.0,0.0,1796.0,25.0
1,L,4168200.0,L,39.0,L,L,M,L,M,L,0.0,,0.0,0.48,2162.0,133.0,1.638,643.0,25.0
0,L,1490000.0,L,12.0,L,L,M,M,M,M,9.0,,9.0,0.12,3258.0,115.0,0.169,1456.0,35.0
1,L,4600000.0,L,3.0,L,L,L,L,L,L,0.0,0.0,0.0,0.69,3991.0,114.0,0.006,1712.0,41.0
0,L,3385000.0,L,0.0,L,L,L,L,L,L,49.0,75.05775554,-12.5,0.33,,47.0,0.0,,36.0
1,L,1490000.0,L,12.0,L,L,M,M,M,M,9.0,31.81980515,-13.5,0.12,,115.0,0.169,1456.0,35.0
1,L,1390000.0,L,0.0,L,L,M,M,M,L,81.0,122.5030612,-18.0,0.08,,1313.0,0.454,1850.0,30.0
1,L,556000.0,L,0.0,L,L,L,M,L,M1,0.0,40.30508653,-28.5,0.0,,277.0,8.899,1842.0,32.0
1,L,1390000.0,L,12.0,M1,M,M1,L,S1,L,,,,0.08,,186.0,1.332,1462.0,31.0
0,L,2650000.0,L,0.0,L,L,M,L,S,,15.0,165.4629868,-102.0,0.28,2554.0,96.0,0.0,,33.0
0,L,2150000.0,L,15.0,L,M,M1,L,S1,M,,,,0.27,3990.0,629.0,0.0,,33.0
0,,,,,,,,,,,15.0,87.55969392,-32.8,,,873.0,,,
0,L,4880000.0,L,4.0,L,L,M,L,M,L,2.0,,2.0,0.74,2187.0,0.0,0.002,1679.0,29.0
1,L,4880000.0,L,4.0,L,L,M,L,M,L,10.0,5.291502622,4.0,0.74,2187.0,0.0,0.002,1679.0,29.0
1,,,,,,,,,,,,,,,,957.0,,,
0,,,,,,,,,,,4.0,2.121320344,2.5,,,2487.0,,,
1,,,,,,,,,,,0.0,9.237604307,-5.333333333,,2188.0,679.0,,,
1,,,,,,,,,,,71.0,50.20458146,35.5,,,1069.0,,,
1,,,,,,,,,,,65.0,45.254834,33.0,,,3832.0,,,
0,L,2748990.0,L,61.0,L,L,L,M1,L,M1,104.0,73.53910524,52.0,0.29,,4665.0,0.847,-32.0,32.0
1,L,1043000.0,L,0.0,L,L,M,M,S,M,28.0,13.10216267,8.5,0.05,718.0,0.0,0.046,1842.0,29.0
0,L,4521530.0,L,21.0,L,L,L,L,L,L,73.0,7.778174593,67.5,0.62,,0.0,89.179,1189.0,29.0
1,,,,,,,,,,,1.0,0.707106781,0.5,,3633.0,109.0,,,
1,L,4473000.0,L,48.0,L,L,M,L,S,M1,1.0,,1.0,0.6,,0.0,0.141,342.0,27.0
1,L,5177684.0,L,17.0,L,L,L,L,L,L,11.0,18.90326251,-3.666666667,0.8,,1572.0,0.0,1346.0,31.0
0,L,4696230.0,L,14.0,L,L,L,L,L,M1,102.0,60.81118318,59.0,0.69,,1218.0,0.0,1380.0,27.0
0,M,834000.0,L,0.0,L,L,M,M,S,L,,,,0.01,,0.0,0.012,1828.0,27.0
0,L,4473000.0,L,8.0,L,L,L,L,L,L,15.0,41.61369967,-7.8,0.6,,740.0,0.317,1586.0,36.0
1,L,1390000.0,L,48.0,L,L,M,M,M,L,13.0,7.778174593,7.5,0.08,2920.0,162.0,41.697,362.0,54.0
0,L,6900000.0,L,69.0,L,L,L,L,L,L,80.0,,80.0,0.91,,0.0,2.252,-273.0,34.0
0,L,4470000.0,L,172.0,L,M,M,L,S,L,39.0,18.24828759,18.0,0.6,,150.0,0.003,-1449.0,45.0
1,L,1390000.0,L,48.0,L,L,M,M,M,L,35.0,14.67310465,10.4,0.08,2920.0,162.0,41.697,362.0,54.0
0,L,6431000.0,L,37.0,L,L,L,L,L,L,-19.0,,-19.0,0.89,,4918.0,0.017,678.0,28.0
1,L,3777100.0,L,60.0,L,,M,L,,M,,,,0.39,,0.0,3.002,3.0,40.0
0,L,4300000.0,L,24.0,L,L,L,L,L,L,2.0,51.17535214,-24.25,0.52,,701.0,3.663,1090.0,26.0
1,M,726000.0,L,20.0,L,L,M,M,,M1,0.0,77.07463915,-54.5,0.0,,0.0,0.0,1201.0,32.0
0,L,3590900.0,L,55.0,L,M,M,L,M,L,45.0,,45.0,0.35,,11.0,382.259,160.0,31.0
0,L,4730000.0,L,0.0,L,L,L,L,L,S,17.0,6.08276253,10.0,0.71,,0.0,6.154,1793.0,25.0
0,L,4827600.0,L,122.0,L,M,M,L,M,L,11.0,4.654746681,4.5,0.74,4002.0,243.0,0.003,-1449.0,43.0
0,,,,,,,,,,,,,,,2526.0,0.0,,,
0,,,,,,,,,,,14.0,6.32455532,4.0,,,1400.0,,,
0,,,,,,,,,,,,,,,,2370.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
1,,,,,,,,,,,,,,,,1043.0,,,
0,L,3780000.0,L,52.0,L,M,M,L,M,L,4.0,,4.0,0.39,,291.0,2.451,240.0,36.0
0,L,4100000.0,L,9.0,L,L,M,L,M,L,,,,0.48,,258.0,0.0,1534.0,37.0
0,,,,,,,,,,,,,,,,0.0,,,
0,L,,L,0.0,L,L,M1,M,S1,L,,,,0.0,2554.0,1664.0,0.0,,27.0
0,L,3700000.0,L,2.0,L,L,M,L,M,S1,,,,0.39,,2401.0,0.0,,26.0
0,,,,,,,,,,,15.0,5.802298395,8.5,,,4906.0,,,
0,L,4295670.0,L,109.0,L,S1,M1,L,S1,L,1.0,0.707106781,0.5,0.49,,1171.0,1.026,-1453.0,37.0
0,L,3039600.0,L,12.0,L,M,L,L,L,L,,,,0.3,2920.0,1473.0,1.019,1465.0,29.0
0,,,,,,,,,,,10.0,0.0,10.0,,,4906.0,,,
0,L,3039600.0,L,12.0,L,M,L,L,L,L,22.0,11.2398102,9.5,0.3,2920.0,1473.0,1.019,1465.0,29.0
0,L,1150000.0,L,0.0,L,L,L,M,L,L,,,,0.08,,161.0,0.0,,39.0
0,L,2773100.0,L,105.0,L,L,L,M1,L,S1,19.0,,19.0,0.29,,506.0,0.759,-1369.0,30.0
0,L,2680000.0,L,17.0,L,L,L,M1,L,S1,,,,0.28,1071.0,0.0,0.0,1307.0,30.0
1,L,3672000.0,L,0.0,L,L,M,L,M,M1,76.0,37.09896674,35.66666667,0.38,,336.0,5.493,1793.0,25.0
0,L,8000000.0,L,0.0,L,L,L,L,L,M,29.0,57.62161053,-7.25,0.93,2526.0,0.0,0.0,1812.0,31.0
1,,,,,,,,,,,,,,,2186.0,1065.0,,,
1,,,,,,,,,,,7.0,55.86143571,-32.5,,362.0,0.0,,,
0,,,,,,,,,,,60.0,18.59032006,7.4,,,2713.0,,,
1,L,4230000.0,L,0.0,L,L,L,M1,L,S1,10.0,4.020779361,1.833333333,0.49,2541.0,801.0,0.0,1798.0,32.0
1,L,1390000.0,L,12.0,L,L,L,M,L,L,,,,0.08,2529.0,152.0,1.346,1482.0,40.0
1,L,973000.0,L,12.0,L,L,L,M,L,M1,10.0,5.773502692,3.333333333,0.03,1441.0,0.0,0.0,1457.0,27.0
0,,,,,,,,,,,60.0,32.65475973,22.33333333,,,2713.0,,,
0,L,4680000.0,L,17.0,L,L,L,L,L,L,0.0,0.0,0.0,0.69,729.0,1894.0,0.0,1300.0,28.0
1,L,3657000.0,L,20.0,L,S1,L,M1,L,,92.0,42.03470788,29.75,0.38,1816.0,588.0,0.0,,36.0
0,L,1390000.0,L,0.0,L,L,M,M,M,L,,,,0.08,1086.0,0.0,0.195,1847.0,23.0
0,L,4440000.0,L,67.0,L,L,L,M1,L,S1,23.0,9.02034737,5.166666667,0.6,,0.0,0.0,-222.0,31.0
0,L,4440000.0,L,67.0,L,L,L,M1,L,S1,23.0,16.26345597,11.5,0.6,3264.0,0.0,0.0,-222.0,31.0
1,L,3657000.0,L,20.0,L,S1,L,M1,L,,22.0,,22.0,0.38,1816.0,588.0,0.0,,36.0
0,L,745000.0,L,48.0,L,L,L,M,L,L,0.0,0.0,0.0,0.0,347.0,0.0,0.353,349.0,29.0
0,L,4472600.0,L,0.0,L,L,L,L,L,L,21.0,,21.0,0.6,1459.0,0.0,26.692,1807.0,30.0
0,M,4697000.0,L,0.0,L,M,L,L,L,M1,3.0,1.414213562,1.0,0.69,716.0,4176.0,4.985,1743.0,25.0
0,L,1390000.0,L,0.0,L,L,L,M,L,L,57.0,25.01399608,17.2,0.08,1812.0,65.0,0.469,1821.0,27.0
0,L,834000.0,L,0.0,L,L,M,M,M,M1,15.0,50.01333156,-19.66666667,0.01,1452.0,0.0,52.933,1843.0,25.0
0,L,4200000.0,L,17.0,L,L,M,L,M,L,12.0,16.62327685,-0.5,0.49,2527.0,2012.0,0.004,1312.0,29.0
0,L,2613750.0,L,0.0,L,L,L,M1,L,S1,0.0,,0.0,0.28,2530.0,2584.0,0.0,1818.0,27.0
0,L,2904880.0,L,55.0,L,L,L,M1,L,S1,,,,0.3,,9.0,2.829,161.0,32.0
1,,,,,,,,,,,0.0,76.36753237,-54.0,,706.0,4.0,,,
1,,,,,,,,,,,46.0,19.15724406,24.0,,2905.0,1059.0,,,
1,L,5220000.0,L,98.0,L,L,L,L,L,L,-95.0,,-95.0,0.81,,385.0,0.926,-1155.0,33.0
0,L,4280000.0,L,30.0,L,L,L,L,L,L,14.0,50.94441415,-18.0,0.49,1454.0,1978.0,0.21,919.0,29.0
1,L,5018000.0,L,13.0,L,L,L,L,L,M1,10.0,4.163331999,5.0,0.77,1810.0,0.0,0.116,1400.0,38.0
0,L,4500000.0,L,0.0,L,L,L,L,L,M,2.0,,2.0,0.62,2172.0,4679.0,0.756,1796.0,28.0
1,L,834000.0,L,0.0,L,L,L,M,L,L,11.0,4.65832588,2.8,0.01,,0.0,25.607,1842.0,34.0
0,L,1490000.0,L,24.0,S,S,L,L,L,L,45.0,59.01440502,-6.2,0.12,,445.0,1.133,1101.0,34.0
0,L,4680000.0,L,39.0,L,L,L,L,L,L,52.0,67.58433885,-5.25,0.69,,3.0,0.765,645.0,31.0
1,,,,,,,,,,,,,,,,18.0,,,
0,,,,,,,,,,,3.0,,3.0,,1805.0,140.0,,,
0,L,1150000.0,L,0.0,M1,M,L,S1,L,L,,,,0.08,1444.0,0.0,0.0,,28.0
0,,,,,,,,,,,,,,,2919.0,0.0,,,
1,,,,,,,,,,,0.0,72.83199846,-51.5,,-18.0,0.0,,,
0,L,1390000.0,L,0.0,L,L,M,M,M,L,,,,0.08,,1010.0,0.0,1843.0,35.0
1,,,,,,,,,,,5.0,3.535533906,2.5,,,91.0,,,
1,M,4520000.0,L,11.0,L,L,M,L,M,S,0.0,0.0,0.0,0.62,1804.0,0.0,0.0,1485.0,26.0
1,L,973000.0,L,0.0,L,L,M,M,M,L,39.0,59.50070028,-9.666666667,0.03,,4943.0,0.008,1845.0,42.0
0,,,,,,,,,,,,,,,1815.0,971.0,,,
1,L,1390000.0,L,12.0,L,L,M,M,M,L,17.0,5.92814112,3.5,0.08,4358.0,4178.0,0.036,1455.0,40.0
1,L,973000.0,L,0.0,L,L,M,M,M,L,3.0,,3.0,0.03,1457.0,1196.0,0.247,1853.0,28.0
1,L,5437000.0,L,3.0,L,M,L,L,L,L,45.0,90.09069504,-14.33333333,0.83,-5.0,158.0,0.001,1719.0,35.0
0,L,5437000.0,L,3.0,L,M,L,L,L,L,45.0,75.35914012,-11.5,0.83,-5.0,158.0,0.001,1719.0,35.0
1,,,,,,,,,,,9.0,2.121320344,7.5,,,48.0,,,
0,L,1150000.0,L,0.0,S,M,L,S1,L,L,,,,0.08,,1549.0,0.0,,26.0
0,L,3400000.0,L,0.0,L,L,M,L,M,M1,11.0,3.722169455,2.636363636,0.35,2173.0,462.0,0.0,1774.0,28.0
0,L,3400000.0,L,0.0,L,L,M,L,M,M1,11.0,4.082482905,4.666666667,0.35,2173.0,462.0,0.0,1774.0,28.0
0,,,,,,,,,,,0.0,,0.0,,,0.0,,,
0,,,,,,,,,,,8.0,93.53608929,-47.0,,,1458.0,,,
1,,,,,,,,,,,,,,,,1458.0,,,
1,L,1390000.0,L,3.0,M1,M1,L,S1,L,L,,,,0.08,,0.0,0.0,1747.0,23.0
0,,,,,,,,,,,,,,,,0.0,,,
1,L,3780000.0,L,1.0,L,M,L,L,L,,47.0,22.11334439,22.0,0.39,,2955.0,67.448,,31.0
0,L,4500000.0,L,11.0,L,L,L,L,L,L,,,,0.62,,0.0,0.0,,36.0
1,,,,,,,,,,,9.0,39.50843792,-11.75,,335.0,0.0,,,
0,,,,,,,,,,,0.0,,0.0,,1441.0,891.0,,,
0,L,1390000.0,L,0.0,L,L,M,M,M,L,,,,0.08,,593.0,0.04,1840.0,25.0
0,,,,,,,,,,,4.0,,4.0,,,117.0,,,
1,,,,,,,,,,,23.0,8.112306935,5.142857143,,1441.0,891.0,,,
0,L,2771400.0,L,17.0,L,M,M,L,M,L,,,,0.29,1819.0,1734.0,0.095,1299.0,26.0
0,L,7614900.0,L,34.0,L,L,M,L,M,L,3.0,2.121320344,1.5,0.93,1445.0,572.0,7.788,794.0,33.0
0,L,1390000.0,L,0.0,L,L,M,M,M,L,1.0,,1.0,0.08,-20.0,593.0,0.04,1840.0,25.0
0,L,1490000.0,L,17.0,L,M,M,L,M,L,,,,0.12,717.0,0.0,4.766,1322.0,33.0
0,L,1390000.0,L,39.0,M1,M,L,S1,L,L,0.0,94.75230868,-67.0,0.08,-27.0,0.0,0.0,646.0,25.0
0,L,695000.0,L,36.0,L,L,M,M,M,L,11.0,5.567764363,5.0,0.0,,10.0,0.0,725.0,31.0
0,L,4773000.0,L,12.0,L,L,L,L,L,L,,,,0.71,,35.0,0.015,1430.0,33.0
0,,,,,,,,,,,44.0,30.40559159,22.5,,,806.0,,,
0,,,,,,,,,,,12.0,34.02939905,-7.0,,,33.0,,,
0,,,,,,,,,,,,,,,,919.0,,,
0,L,1300000.0,L,27.0,M1,M,L,S1,L,L,18.0,5.041008303,2.333333333,0.08,-24.0,0.0,13.673,1022.0,25.0
1,L,1300000.0,L,27.0,M1,M,L,S1,L,L,,,,0.08,-24.0,0.0,13.673,1022.0,25.0
1,L,4472600.0,L,32.0,L,M,L,L,L,M1,74.0,37.00450423,37.33333333,0.6,1092.0,2757.0,0.347,822.0,28.0
0,,,,,,,,,,,57.0,137.8858223,-40.5,,1460.0,1792.0,,,
0,,,,,,,,,,,41.0,101.3146913,-36.0,,,2804.0,,,
1,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,
0,,,,,,,,,,,,,,,,0.0,,,
1,,,,,,,,,,,,,,,,865.0,,,
0,L,5000000.0,L,0.0,L,M,L,L,L,L,,,,0.77,706.0,701.0,0.602,1793.0,35.0
1,,,,,,,,,,,94.0,164.0487732,-22.0,,,0.0,,,
